2943,-1612,s
2941,-8093,r
-5048,-5113,m
349,953,s
-611,1034,r
4465,1589,m
8859,8273,x
8854,662,s
7879,6330,r
-7174,-7099,m
7775,-3627,p
-7027,7060,s
-5896,-4340,r
-151,5563,m
2241,-8254,s
750,-4274,r
-5568,-7528,m
-9967,-7599,s
4363,4681,r
-5988,9976,m
5831,6728,x
-2772,-5500,s
9166,-5418,r
7986,-2337,m
3557,-2821,p
8448,8590,s
8715,1084,r
9060,-8244,m
3529,-238,s
7566,8854,r
-9173,-2459,m
7807,1946,s
4548,9624,r
8208,-4698,m
-6140,2647,x
-4372,-7651,s
3747,1390,r
376,-5449,m
8271,971,p
-2744,8125,s
8802,-2496,r
-881,3088,m
7034,-3619,s
3881,-2572,r
-7695,6640,m
-1870,-5035,s
-7536,3621,r
-452,-9579,m
-1453,9848,x
-7957,611,s
978,-4812,r
-2499,-1260,m
-6066,-3989,p
-8595,4574,s
-2876,-6054,r
-5603,-5246,m
-808,4298,p
5419,7286,r
-9057,3978,s
-7022,-4922,m
-5849,2578,p
5860,9608,s
-4792,9762,m
-9670,512,r
6368,-6138,x
6112,959,p
-8600,-6252,r
-1882,-1469,s
4348,2023,m
-9589,4470,p
9936,-6278,s
3531,-6869,m
9634,-4574,r
-1087,7831,x
1118,-6797,p
3444,-4005,r
-1359,-5216,s
-3430,-9923,m
-8152,-5881,p
9442,4520,s
1784,-721,m
5075,-3443,r
-6674,-6153,x
1816,6119,p
-1455,-4116,s
-1095,3481,m
-7226,-3134,r
4927,9399,x
5850,8802,p
7641,4870,r
1543,-6397,s
-5161,69,m
-5487,-433,p
-538,-3012,s
8313,227,m
4195,1414,r
9152,-4261,x
5914,-4319,p
-3259,713,s
7447,8675,m
7411,911,r
-8546,-3894,x
-8952,2093,p
4958,-1821,r
-3508,6022,s
9786,-45,m
6835,-5347,p
1361,3165,s
2319,8231,m
3272,-2676,r
1432,-9310,x
2457,-6324,p
9611,-2892,s
2470,-9581,m
-7423,3627,r
-4821,-599,x
-8118,3697,p
2307,-6457,r
-7362,-5121,s
9640,-4820,r
9774,-3649,m
5763,7584,s
-1212,4218,r
9600,-2996,m
-3337,-9140,x
87,8911,s
-9673,-5850,r
403,-1718,m
5091,-409,p
7670,-7928,s
6592,-4101,r
-9174,-2146,m
-2333,9224,s
9663,-6724,r
-474,-8255,m
-8580,-195,s
2106,5194,r
8437,-4847,m
-6923,7206,x
-64,-8074,s
-7881,5824,r
-8242,-6743,m
2393,-6100,p
-7508,-4083,s
9479,1193,r
250,-1280,m
6392,-9519,s
-7897,3314,r
969,-7631,m
-8470,7360,s
6186,-3946,r
7730,8519,m
-1564,-9673,x
-9993,-5890,s
-3989,-3232,r
4557,-8424,m
-2053,-234,p
-7470,3196,s
5250,-127,r
-6974,4924,m
-2504,8575,s
5160,-1837,r
5665,-3601,m
-666,-6647,s
3347,-1800,r
2453,8530,m
-222,-8504,x
5477,-2801,s
5947,-7823,r
3248,-2584,m
-9262,5422,p
6745,-8764,s
7136,-6594,r
-5795,3755,m
7681,-5611,p
8826,-9659,r
-6236,162,s
856,6508,m
620,6437,p
9251,-6978,s
-9273,4400,m
-1417,-5870,r
-3243,4865,x
1903,1763,p
-8734,2447,r
4658,-8610,s
-4219,-8237,m
-8301,-195,p
9502,8305,s
5712,-7724,m
2946,1978,r
-864,3108,x
2481,2618,p
6586,-6888,r
5885,95,s
-9158,-7258,m
-6236,707,p
8359,2911,s
-6645,-4796,m

7327,7157,r
100,50,r
